machine_id,file
29,462822612.dcm
29,1459541791.dcm
29,1864590858.dcm
29,1874946579.dcm
21,220375232.dcm
21,270344397.dcm
21,541722628.dcm
21,1031443799.dcm
29,562340703.dcm
29,1365269360.dcm
29,288394860.dcm
29,893612858.dcm
216,1967300488.dcm
216,2142944869.dcm
216,850559196.dcm
216,1350492010.dcm
93,102733848.dcm
93,202939811.dcm
93,1648588715.dcm
93,294481519.dcm
93,495770405.dcm
29,964141995.dcm
29,1234933874.dcm
29,1577142909.dcm
29,1842203124.dcm
49,349510516.dcm
49,906829939.dcm
49,1464813991.dcm
49,94335194.dcm
49,1207499426.dcm
49,1351270472.dcm
29,588678397.dcm
29,1749389520.dcm
29,1428987847.dcm
29,1614607569.dcm
29,938549206.dcm
29,1238319934.dcm
29,833024366.dcm
29,2046475482.dcm
29,51088550.dcm
29,1973073874.dcm
29,1479874325.dcm
29,2029358943.dcm
49,1450760951.dcm
49,1854592291.dcm
49,25264463.dcm
49,1276618392.dcm
49,664674273.dcm
49,929754876.dcm
49,1957744616.dcm
49,166011602.dcm
49,268368896.dcm
49,1007799858.dcm
49,618254763.dcm
49,1245250349.dcm
49,1304802631.dcm
49,1480506800.dcm
49,453020471.dcm
49,1181635673.dcm
49,1241778584.dcm
49,1951607544.dcm
21,238675415.dcm
21,2057295788.dcm
21,190315990.dcm
21,929085221.dcm
29,472095321.dcm
29,539757861.dcm
29,527043166.dcm
29,1470873094.dcm
49,50833170.dcm
49,494229141.dcm
49,394215927.dcm
49,1854075671.dcm
29,722196386.dcm
29,1732550501.dcm
29,612913905.dcm
29,828772252.dcm
48,1891054212.dcm
48,2029770528.dcm
48,473162373.dcm
48,1919498169.dcm
48,23590109.dcm
48,1495487293.dcm
48,1987272730.dcm
48,677689694.dcm
48,808365199.dcm
48,1035012441.dcm
49,388811999.dcm
49,613462606.dcm
49,1360338805.dcm
49,1672636630.dcm
49,1013166704.dcm
49,1165309236.dcm
49,2110820077.dcm
49,726735438.dcm
49,1646384157.dcm
49,441108517.dcm
49,2137344394.dcm
48,912156277.dcm
48,1638919168.dcm
48,1520248094.dcm
48,1626006836.dcm
49,629904228.dcm
49,669597068.dcm
49,229558076.dcm
49,1173679750.dcm
21,1260861056.dcm
21,1830062849.dcm
21,816393025.dcm
21,1516077730.dcm
21,33561657.dcm
21,114671324.dcm
21,864576083.dcm
21,1622207304.dcm
49,2056985886.dcm
49,2062101003.dcm
49,1779471194.dcm
49,1827497738.dcm
48,1280087654.dcm
48,2113019561.dcm
48,853416701.dcm
48,1774592645.dcm
29,107381562.dcm
29,139226895.dcm
29,481841246.dcm
29,871078482.dcm
49,782975270.dcm
49,1352374842.dcm
49,194880525.dcm
49,611694376.dcm
21,760010915.dcm
21,873499971.dcm
21,610638958.dcm
21,2015481666.dcm
29,868301138.dcm
29,1053754853.dcm
29,688385543.dcm
29,1064702099.dcm
49,168739237.dcm
49,1087195608.dcm
49,579841204.dcm
49,653493113.dcm
49,568324157.dcm
49,1562056186.dcm
49,2030427504.dcm
49,1385708909.dcm
49,1692821032.dcm
49,2099794251.dcm
49,109667135.dcm
49,441197449.dcm
49,1481469520.dcm
49,593476281.dcm
49,670741863.dcm
49,1393196107.dcm
21,246097133.dcm
21,330164653.dcm
21,1197226360.dcm
21,1273945534.dcm
49,134267365.dcm
49,600223902.dcm
49,846834855.dcm
49,161478494.dcm
49,534538517.dcm
49,570041037.dcm
49,1422756511.dcm
49,1620368761.dcm
49,638273415.dcm
49,1248063999.dcm
49,74874399.dcm
49,1922025927.dcm
93,1856209291.dcm
93,2114415931.dcm
93,328866680.dcm
93,1345293036.dcm
49,1811094004.dcm
49,1955750733.dcm
49,1241697021.dcm
49,1564477624.dcm
21,657488461.dcm
21,968602692.dcm
21,997207804.dcm
21,1331256002.dcm
21,232125477.dcm
21,606379838.dcm
21,1260916210.dcm
21,2089528200.dcm
48,385596666.dcm
48,1800447452.dcm
48,1530859311.dcm
48,1816646966.dcm
49,461614796.dcm
49,530620473.dcm
49,309353373.dcm
49,348710745.dcm
49,806376890.dcm
49,1943220805.dcm
29,81785330.dcm
29,678220517.dcm
29,1119917037.dcm
29,1570900031.dcm
49,173054723.dcm
49,376486299.dcm
49,853328202.dcm
49,76952917.dcm
49,287294454.dcm
49,738945317.dcm
21,182563372.dcm
21,797464102.dcm
21,56090001.dcm
21,367024983.dcm
21,780619415.dcm
170,130367763.dcm
170,1716961366.dcm
170,1424382547.dcm
170,1797657520.dcm
49,773597682.dcm
49,1803952236.dcm
49,347069540.dcm
49,1122776493.dcm
21,30554088.dcm
21,1175631809.dcm
21,881381894.dcm
21,2115565725.dcm
49,699715160.dcm
49,2128921996.dcm
49,214017695.dcm
49,633991369.dcm
48,56268394.dcm
48,1586610920.dcm
48,647260524.dcm
48,1551265301.dcm
48,424132168.dcm
48,1908533878.dcm
48,966712981.dcm
48,1646352463.dcm
29,315268478.dcm
29,759950512.dcm
29,1355572672.dcm
29,1485541548.dcm
29,1854424773.dcm
49,1037740142.dcm
49,1276521957.dcm
49,568719755.dcm
49,583994756.dcm
216,89959336.dcm
216,100557098.dcm
216,497635722.dcm
216,191757584.dcm
216,600548622.dcm
49,906075357.dcm
49,1616844775.dcm
49,1934928587.dcm
49,1092321039.dcm
49,1390886438.dcm
216,811524217.dcm
216,2031965671.dcm
